Location,Latitude,Longitude,Facility Type,Facility Size,Technology Level,Crop,Evapotranspiration (L/year),Annual Water Consumption (L/year),Annual Energy Consumption (MWh/year),Annual CO2 Emissions (kg CO2-eq/year)
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,Low-tech,Lettuce,820281.1972,820281.1972,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,Low-tech,Spinach,826281.6028,826281.6028,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,Low-tech,Broccoli,821100.0035,821100.0035,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,Low-tech,Basil,750498.1232,750498.1232,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,Low-tech,Tomatoes,1082580.051,1082580.051,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,Low-tech,Bell peppers,951283.8591,951283.8591,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,Low-tech,Zucchini,782453.4479,782453.4479,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,Low-tech,Strawberries,695275.8281,695275.8281,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,High-tech,Roses,637947.6228,637947.6228,84.8625,19370.81547
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,High-tech,Lettuce,826869.513,826869.513,84.8625,19370.81547
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,High-tech,Spinach,833221.5044,833221.5044,84.8625,19370.81547
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,High-tech,Broccoli,826006.2017,826006.2017,84.8625,19370.81547
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,High-tech,Basil,758569.985,758569.985,84.8625,19370.81547
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,High-tech,Tomatoes,1098236.654,1098236.654,84.8625,19370.81547
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,High-tech,Bell peppers,963242.6281,963242.6281,84.8625,19370.81547
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,High-tech,Zucchini,788898.0455,788898.0455,84.8625,19370.81547
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Medium,High-tech,Strawberries,700572.5523,700572.5523,84.8625,19370.81547
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,Low-tech,Roses,901554.7792,901554.7792,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,Low-tech,Lettuce,1171830.282,1171830.282,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,Low-tech,Spinach,1180402.29,1180402.29,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,Low-tech,Broccoli,1173000.005,1173000.005,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,Low-tech,Basil,1072140.176,1072140.176,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,Low-tech,Tomatoes,1546542.93,1546542.93,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,Low-tech,Bell peppers,1358976.942,1358976.942,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,Low-tech,Zucchini,1117790.64,1117790.64,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,Low-tech,Strawberries,993251.1829,993251.1829,0,0
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,High-tech,Roses,911353.7468,911353.7468,52.0344,11877.43421
